City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,geraldton,-28.7667,114.6,294.38,83,100,3.6,AU,1699903949
154,flying fish cove,-10.4217,105.6791,297.97,83,100,3.6,CX,1699903950
155,kapuskasing,49.4169,-82.4331,275.2,93,100,6.69,CA,1699903951
156,papatowai,-46.5619,169.4708,285.01,84,44,1.85,NZ,1699903951
157,aasiaat,68.7098,-52.8699,261.55,87,100,1.87,GL,1699903952
158,ivdel',60.6911,60.4206,274.92,81,100,1.79,RU,1699903952
159,baki,-7.6128,110.7839,298.37,87,100,2.4,ID,1699903690
160,tshikapa,-6.4167,20.8,294.42,91,47,0.53,CD,1699903953
161,luwuk,-0.9516,122.7875,298.48,82,100,1.13,ID,1699903954
162,xai-xai,-25.0519,33.6442,295.57,65,100,5.56,MZ,1699903955
163,aitape,-3.1374,142.3475,298.2,91,78,2.46,PG,1699903955
164,beterou,9.1992,2.2586,300.54,29,2,1.89,BJ,1699903956
165,betio village,1.358,172.9211,301.17,78,99,3.42,KI,1699903957
166,usogorsk,63.4106,48.6872,272.41,94,100,4.31,RU,1699903958
167,andkhoy,36.9529,65.1238,286.65,39,4,2.67,AF,1699903958
168,ancud,-41.8697,-73.8203,283.37,54,42,7.19,CL,1699903959
169,motril,36.7507,-3.5179,293.86,57,100,0.81,ES,1699903959
170,anadyr,64.75,177.4833,265.43,92,100,6.0,RU,1699903960
171,hithadhoo,-0.6,73.0833,300.68,80,57,4.48,MV,1699903961
172,cortez,37.3489,-108.5859,288.66,17,0,5.14,US,1699903961
173,sao felix do xingu,-6.6447,-51.995,309.1,28,98,1.95,BR,1699903962
174,masterton,-40.9597,175.6575,286.97,59,88,3.55,NZ,1699903962
175,qazax,41.0933,45.3661,289.86,40,100,1.94,AZ,1699903963
176,ziro,27.6333,93.8333,278.71,68,0,1.17,IN,1699903964
177,reedsburg,43.5325,-90.0026,288.3,28,0,4.63,US,1699903965
178,wailua homesteads,22.0669,-159.378,299.59,68,20,7.72,US,1699903966
179,george town,5.4112,100.3354,299.11,89,20,1.03,MY,1699903941
180,happy valley-goose bay,53.3168,-60.3315,273.32,64,75,5.66,CA,1699903967
181,madhogarh,26.276,79.1869,293.18,46,90,1.55,IN,1699903967
182,kruisfontein,-34.0033,24.7314,287.5,78,95,4.57,ZA,1699903968
183,juneau,58.3019,-134.4197,273.15,95,75,2.57,US,1699903968
